individual	pedigree	fullSampleName	family
P114	BG95xGH1	P114:250353748	GRYG
P115	BG95xGH1	P115:250353605	GRYG
P116	BG95xGH1	P116:250353606	GRYG
P117	BG95xGH1	P117:250353607	GRYG
P118	BG95xGH1	P118:250353608	GRYG
P119	BG95xGH1	P119:250353609	GRYG
P12	BG95xGH1	P12:250353359	GRYG
P120	BG95xGH1	P120:250353610	GRYG
P121	BG95xGH1	P121:250353611	GRYG
P122	BG95xGH1	P122:250353612	GRYG
P123	BG95xGH1	P123:250353613	GRYG
P124	BG95xGH1	P124:250353614	GRYG
P125	BG95xGH1	P125:250353615	GRYG
P126	BG95xGH1	P126:250353616	GRYG
P127	BG95xGH1	P127:250353617	GRYG
P128	BG95xGH1	P128:250353618	GRYG
P129	BG95xGH1	P129:250353619	GRYG
P13	BG95xGH1	P13:250353360	GRYG
P131	BG95xGH1	P131:250353620	GRYG
P132	BG95xGH1	P132:250353621	GRYG
P133	BG95xGH1	P133:250353622	GRYG
P134	BG95xGH1	P134:250353623	GRYG
P135	BG95xGH1	P135:250353624	GRYG
P136	BG95xGH1	P136:250353625	GRYG
P137	BG95xGH1	P137:250353626	GRYG
P138	BG95xGH1	P138:250353627	GRYG
P139	BG95xGH1	P139:250353628	GRYG
P14	BG95xGH1	P14:250353361	GRYG
P141	BG95xGH1	P141:250353629	GRYG
P142	BG95xGH1	P142:250353630	GRYG
P143	BG95xGH1	P143:250353631	GRYG
P144	BG95xGH1	P144:250353632	GRYG
P145	BG95xGH1	P145:250353633	GRYG
P146	BG95xGH1	P146:250353658	GRYG
P147	BG95xGH1	P147:250353637	GRYG
P148	BG95xGH1	P148:250353638	GRYG
P15	BG95xGH1	P15:250353362	GRYG
P150	BG95xGH1	P150:250353639	GRYG
P151	BG95xGH1	P151:250353640	GRYG
P152	BG95xGH1	P152:250353641	GRYG
P153	BG95xGH1	P153:250353642	GRYG
P154	BG95xGH1	P154:250353643	GRYG
P155	BG95xGH1	P155:250353644	GRYG
P157	BG95xGH1	P157:250353645	GRYG
P158	BG95xGH1	P158:250353646	GRYG
P159	BG95xGH1	P159:250353647	GRYG
P16	BG95xGH1	P16:250353363	GRYG
P161	BG95xGH1	P161:250353648	GRYG
P162	BG95xGH1	P162:250353649	GRYG
P163	BG95xGH1	P163:250353650	GRYG
P164	BG95xGH1	P164:250353651	GRYG
P165	BG95xGH1	P165:250353652	GRYG
P166	BG95xGH1	P166:250353653	GRYG
P168	BG95xGH1	P168:250353654	GRYG
P17	BG95xGH1	P17:250353364	GRYG
P170	BG95xGH1	P170:250353655	GRYG
P171	BG95xGH1	P171:250353656	GRYG
P172	BG95xGH1	P172:250353657	GRYG
P174	BG95xGH1	P174:250353659	GRYG
P175	BG95xGH1	P175:250353660	GRYG
P176	BG95xGH1	P176:250353661	GRYG
P177	BG95xGH1	P177:250353662	GRYG
P178	BG95xGH1	P178:250353663	GRYG
P179	BG95xGH1	P179:250353664	GRYG
P18	BG95xGH1	P18:250353365	GRYG
P180	BG95xGH1	P180:250353665	GRYG
P181	BG95xGH1	P181:250353666	GRYG
P182	BG95xGH1	P182:250353667	GRYG
P183	BG95xGH1	P183:250353668	GRYG
P184	BG95xGH1	P184:250353669	GRYG
P185	BG95xGH1	P185:250353670	GRYG
P187	BG95xGH1	P187:250353671	GRYG
P188	BG95xGH1	P188:250353672	GRYG
P189	BG95xGH1	P189:250353673	GRYG
P19	BG95xGH1	P19:250353366	GRYG
P190	BG95xGH1	P190:250353674	GRYG
P191	BG95xGH1	P191:250353675	GRYG
P192	BG95xGH1	P192:250353676	GRYG
P193	BG95xGH1	P193:250353677	GRYG
P194	BG95xGH1	P194:250353678	GRYG
P195	BG95xGH1	P195:250353679	GRYG
P196	BG95xGH1	P196:250353680	GRYG
P197	BG95xGH1	P197:250353681	GRYG
P198	BG95xGH1	P198:250353682	GRYG
P199	BG95xGH1	P199:250353683	GRYG
P20	BG95xGH1	P20:250353367	GRYG
P200	BG95xGH1	P200:250353684	GRYG
P201	BG95xGH1	P201:250353685	GRYG
P202	BG95xGH1	P202:250353686	GRYG
P203	BG95xGH1	P203:250353687	GRYG
P205	BG95xGH1	P205:250353688	GRYG
P206	BG95xGH1	P206:250353689	GRYG
